Temperature (K);Pressure (MPa);Density (mol/l);Volume (l/mol);Internal Energy (kJ/mol);Enthalpy (kJ/mol);Entropy (J/mol*K);Cv (J/mol*K);Cp (J/mol*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (uPa*s);Therm. Cond. (W/m*K);Surf. Tension (N/m);Phase
59.287.528;11.243.300;37.067.152;0.026978064;26.008.540;26.311.862;62.092.896;54.814.832;11.750.954;79.486.095;0.37786840;78.415.176;0.52050276;0.0099247095;liquid
59.349.851;11.336.464;36.981.254;0.027040727;26.074.553;26.381.099;62.205.375;54.818.241;11.810.861;79.099.312;0.38453228;78.177.218;0.51940890;0.0097878534;liquid
59.412.174;11.430.229;36.894.765;0.027104116;26.140.785;26.450.591;62.318.127;54.822.382;11.872.121;78.710.804;0.39131398;77.938.874;0.51830975;0.0096512414;liquid
59.474.496;11.524.599;36.807.676;0.027168246;26.207.238;26.520.341;62.431.158;54.827.275;11.934.780;78.320.545;0.39821662;77.700.121;0.51720527;0.0095148780;liquid
59.536.819;11.619.577;36.719.974;0.027233135;26.273.917;26.590.355;62.544.475;54.832.940;11.998.890;77.928.512;0.40524346;77.460.937;0.51609541;0.0093787677;liquid
59.599.142;11.715.166;36.631.649;0.027298798;26.340.827;26.660.637;62.658.086;54.839.398;12.064.502;77.534.678;0.41239791;77.221.299;0.51498011;0.0092429154;liquid
59.661.464;11.811.369;36.542.689;0.027365255;26.407.972;26.731.193;62.771.998;54.846.673;12.131.671;77.139.016;0.41968346;76.981.184;0.51385933;0.0091073257;liquid
59.723.787;11.908.190;36.453.083;0.027432522;26.475.355;26.802.027;62.886.219;54.854.787;12.200.455;76.741.497;0.42710380;76.740.566;0.51273301;0.0089720037;liquid
59.786.110;12.005.633;36.362.817;0.027500619;26.542.982;26.873.145;63.000.756;54.863.765;12.270.915;76.342.090;0.43466274;76.499.422;0.51160109;0.0088369543;liquid
59.848.432;12.103.699;36.271.880;0.027569566;26.610.858;26.944.552;63.115.618;54.873.633;12.343.115;75.940.765;0.44236424;76.257.724;0.51046352;0.0087021825;liquid
